,Name,dist_obj
22,38083,"['45802', '52747', '58534', '60454', '66452', '69987', '79360', '79978', '80806', '85633', '88267', '88268', '88611', '119066', '129772', '134860', '145452', '148112', '148780', '149348', '150642', '160091', '160147', '183963', '275809', '303712', '307616', '308634', '363330', '363401', '364171', '385191', '385194', '385199', '385201', '385447', '408832', '415720', '420356', '434194', '437871', '439858', '444018', '444025', '455171', '455209', '468422', '469438', '469509', '469610', '471196', '471288', '471921', '472232', '483002', '486958', '487581', '488644', '491767', '491768', '493480', '1994 ES2', '1995 DC2', '1995 WY2', '1996 RQ20', '1996 TK66', '1997 CT29', '1998 FS144', '1998 WG24', '1998 WW31', '1998 WX24', '1998 WX31', '1998 WY24', '1998 WY31', '1999 CB119', '1999 CH154', '1999 CJ119', '1999 CN119', '1999 CU153', '1999 DA', '1999 DH8', '1999 HH12', '1999 HJ12', '1999 HS11', '1999 HV11', '1999 OZ3', '1999 RG215', '1999 RT214', '1999 RW214', '2000 CE105', '2000 CF105', '2000 CG105', '2000 CL104', '2000 CN114', '2000 CQ114', '2000 FC8', '2000 FH8', '2000 FS53', '2000 GV146', '2000 GX146', '2000 GY146', '2000 JF81', '2000 OH67', '2000 ON67', '2000 OU69', '2000 PC30', '2000 PG30', '2000 PM30', '2000 PN30', '2000 PU29', '2000 PW29', '2000 WN183', '2000 WO183', '2000 WT169', '2000 WV12', '2000 YA2', '2000 YV1', '2001 DB106', '2001 ES24', '2001 FK185', '2001 FK193', '2001 FL185', '2001 HA59', '2001 KF76', '2001 KH76', '2001 OG109', '2001 OK108', '2001 OQ108', '2001 QE298', '2001 QO297', '2001 QP297', '2001 QQ297', '2001 QR297', '2001 QS322', '2001 QW322', '2001 QX297', '2001 QZ297', '2001 RW143', '2001 UP18', '2001 XR254', '2001 XU254', '2001 XX254', '2002 CB225', '2002 CS154', '2002 CT154', '2002 CU154', '2002 CZ154', '2002 CZ224', '2002 FW36', '2002 PA171', '2002 PD155', '2002 PO149', '2002 PV170', '2002 PX170', '2002 PY170', '2002 VB131', '2002 VD131', '2002 VF130', '2002 VF131', '2002 VT130', '2002 WL21', '2002 XH91', '2003 FA130', '2003 FM127', '2003 GF55', '2003 HE57', '2003 HH57', '2003 HZ56', '2003 KO20', '2003 QD91', '2003 QE112', '2003 QE91', '2003 QF91', '2003 QG91', '2003 QL91', '2003 QV90', '2003 QX90', '2003 QY111', '2003 QY90', '2003 QZ111', '2003 SN317', '2003 TJ58', '2003 TK58', '2003 TL58', '2003 UB292', '2003 UN284', '2003 UT291', '2003 UZ291', '2003 WU188', '2003 YN179', '2003 YP179', '2003 YR179', '2003 YS179', '2003 YT179', '2003 YX179', '2004 DH64', '2004 DM71', '2004 EP95', '2004 ES95', '2004 HD79', '2004 HE79', '2004 HG79', '2004 HH79', '2004 KE19', '2004 KG19', '2004 LW31', '2004 MT8', '2004 PB108', '2004 PT117', '2004 PU117', '2004 PW117', '2004 PX107', '2004 PY107', '2004 UD10', '2004 VB131', '2004 VC131', '2004 VS75', '2004 XX190', '2005 BV49', '2005 BW49', '2005 EC318', '2005 EE296', '2005 EW318', '2005 GD187', '2005 GX186', '2005 JP179', '2005 LA54', '2005 LB54', '2005 PS21', '2006 BR284', '2006 CH69', '2006 HA123', '2006 HB123', '2006 HW122', '2006 QF181', '2006 SE415', '2006 SF415', '2006 UO321', '2007 CQ79', '2007 CS79', '2007 DS101', '2007 HV90', '2007 RL314', '2009 UF156', '2010 FX86', '2010 KZ39', '2010 TD192', '2010 TE192', '2010 TG192', '2010 TK192', '2010 TL182', '2011 BS163', '2011 BV163', '2011 HF103', '2011 HZ102', '2011 JW31', '2011 JX31', '2011 JY31', '2011 UB412', '2011 UD412', '2011 UF412', '2011 UL412', '2011 UU411', '2011 UX411', '2011 UY411', '2011 UZ411', '2012 DA99', '2012 DW98', '2012 DZ98', '2012 FK84', '2012 HE85', '2012 HL85', '2012 TF324', '2012 UM177', '2012 UO177', '2012 XR157', '2013 EM149', '2013 FB28', '2013 GB138', '2013 GC137', '2013 GE138', '2013 GF138', '2013 GP137', '2013 GQ137', '2013 GR136', '2013 GR137', '2013 GS137', '2013 GT137', '2013 GW137', '2013 GX137', '2013 GY137', '2013 GZ137', '2013 HT156', '2013 HV156', '2013 JJ64', '2013 JN65', '2013 JQ65', '2013 JW63', '2013 LY35', '2013 SP99', '2013 UL15', '2013 UM15', '2013 UO15', '2013 UP15', '2013 XB26', '2014 BX64', '2014 DD143', '2014 DE143', '2014 DF143', '2014 DM143', '2014 DN143', '2014 GT53', '2014 GZ53', '2014 HU199', '2014 LP28', '2014 LT28', '2014 MG70', '2014 OE394', '2014 PN70', '2014 QE442', '2014 QF433', '2014 QW441', '2014 TC86', '2014 TD86', '2014 TW85', '2014 UE225', '2014 UQ224', '2014 WA509', '2014 WD509', '2014 WF509', '2014 WN509', '2014 WO509', '2014 WP509', '2014 WS509', '2014 WT69', '2015 BQ518', '2015 BU518', '2015 FL345', '2015 FM345', '2015 FW392', '2015 PF312', '2016 BP81']"
23,38628,['487581']
24,42301,[]
25,45802,"['79360', '385199', '470443', '483002', '1999 HS11', '2000 GX146', '2001 OG109', '2001 QW322', '2003 GF55', '2003 HZ56', '2003 YS179', '2005 GX186', '2012 XR157', '2013 JJ64', '2013 UN15', '2014 GZ53', '2014 WA510', '2015 AM281', '2015 BV518']"
26,47171,[]
27,47932,"['52747', '53311', '55638', '82075', '82157', '88267', '88268', '90482', '119066', '119070', '119956', '119979', '120132', '126719', '127871', '131697', '137294', '139775', '143685', '143751', '149349', '160147', '168703', '181708', '181867', '182222', '182294', '182926', '182934', '208996', '230965', '307616', '385194', '385199', '385437', '385447', '385458', '385571', '385695', '386723', '437915', '469306', '469362', '469420', '469584', '469704', '488644', '491767', '1994 EV3', '1996 KV1', '1998 HN151', '1998 UR43', '1998 WS31', '1998 WW31', '1999 CG154', '1999 CH119', '1999 CH154', '1999 CK158', '1999 CQ133', '1999 CU153', '1999 DA', '1999 HG12', '1999 HJ12', '1999 HS11', '1999 JD132', '1999 KR18', '1999 OA4', '1999 OD4', '1999 RK215', '1999 RW214', '2000 CE105', '2000 CF105', '2000 CL105', '2000 FF8', '2000 FG8', '2000 GX146', '2000 GY146', '2000 KK4', '2000 PA30', '2000 PC30', '2000 PU29', '2000 PW29', '2000 SY370', '2000 WN183', '2000 WT169', '2001 FL185', '2001 HZ58', '2001 KW76', '2001 OK108', '2001 OQ108', '2001 OZ108', '2001 PK47', '2001 QE298', '2001 QH298', '2001 QO297', '2001 QQ297', '2001 RW143', '2001 UP18', '2002 CT154', '2002 CY248', '2002 CZ154', '2002 FW36', '2002 GS32', '2002 GV32', '2002 GW32', '2002 GY32', '2002 VF131', '2002 VT130', '2003 FD128', '2003 FL127', '2003 FM127', '2003 HD57', '2003 HE57', '2003 QD91', '2003 QE112', '2003 QF91', '2003 QJ91', '2003 QO91', '2003 QR91', '2003 QT91', '2003 QX113', '2003 QZ111', '2003 SQ317', '2003 UT292', '2003 UV292', '2003 UY413', '2003 UZ291', '2003 WU188', '2003 YJ179', '2003 YL179', '2004 EV95', '2004 FW164', '2004 KB19', '2004 KE19', '2004 KH19', '2004 MU8', '2004 OJ14', '2004 OQ15', '2004 PU117', '2004 PV117', '2004 PW107', '2004 PY107', '2004 UD10', '2004 US10', '2004 VZ75', '2005 CA79', '2005 CD81', '2005 CE81', '2005 EZ300', '2005 JJ186', '2005 JP179', '2005 PL21', '2005 SE278', '2005 TN74', '2005 TV189', '2006 AO98', '2006 CH69', '2006 TO130', '2008 AQ118', '2009 DL143', '2010 AH2', '2010 JK124', '2010 RE188', '2010 TF192', '2010 TJ182', '2010 TM182', '2010 TN182', '2010 VK201', '2010 VX224', '2011 HF103', '2011 JY31', '2011 UA412', '2011 UG412', '2011 UL412', '2011 UM411', '2011 UT410', '2011 UW411', '2011 UZ411', '2011 VJ24', '2011 XJ4', '2012 HZ84', '2012 KW51', '2012 TC324', '2012 TE324', '2013 FR28', '2013 GF137', '2013 GP137', '2013 GQ137', '2013 GT136', '2013 GT137', '2013 GU137', '2013 GX137', '2013 GY137', '2013 HW156', '2013 JA65', '2013 JF65', '2013 JG65', '2013 JJ64', '2013 JM64', '2013 JR65', '2013 JS64', '2013 UF15', '2013 UM15', '2013 XB26', '2014 AL55', '2014 CQ23', '2014 DJ143', '2014 DO143', '2014 EA52', '2014 FZ71', '2014 GJ54', '2014 GT53', '2014 GY53', '2014 HB200', '2014 HD200', '2014 JP80', '2014 JT80', '2014 LT28', '2014 MG70', '2014 MZ69', '2014 OH394', '2014 OL394', '2014 OM394', '2014 QZ441', '2014 RQ63', '2014 TA86', '2014 TX85', '2014 UD225', '2014 UT224', '2014 WD509', '2014 WJ509', '2014 YG50', '2015 BP518', '2015 BV518', '2015 FL345', '2015 FM345', '2015 FP345', '2015 FR345', '2015 GS50']"
28,48639,[]
29,49673,[]
30,50000,[]
31,52747,['2012 XR157']
