,Name,dist_obj
16,24978,"['487581', '2000 CG105', '2000 PD30', '2000 WT169', '2001 OQ108', '2001 UP18', '2003 UB292', '2004 HD79', '2011 UF412', '2012 XR157', '2013 FQ28', '2013 GG138', '2013 JJ64', '2013 XB26', '2014 DN143', '2014 WT69']"
17,28978,['2015 FJ345']
18,32929,"['33340', '432949', '444018', '1998 UR43', '1999 CQ133', '1999 RT214', '2000 WO183', '2001 RW143', '2001 RX143', '2003 YL179', '2004 EJ96', '2004 VB131', '2005 JK186', '2006 AO98', '2006 UO321', '2007 LE38', '2010 RO64', '2010 TA192', '2011 UV410', '2014 DH143', '2014 FT71', '2014 JM80', '2014 UP224', '2014 WF510', '2015 OV79']"
19,33001,"['487581', '2000 CG105', '2000 WT169', '2001 OQ108', '2001 UP18', '2003 UB292', '2004 HD79', '2012 XR157', '2013 FQ28', '2013 JJ64', '2013 XB26', '2014 DN143', '2014 WT69', '2015 FJ345']"
20,33340,['2015 FJ345']
21,35671,"['49673', '58534', '60620', '79978', '79983', '80806', '84522', '84922', '90568', '118378', '118698', '119066', '119956', '120178', '126719', '135024', '136472', '143991', '149348', '150642', '160147', '174567', '175113', '181855', '181871', '181874', '182222', '182926', '182933', '182934', '183595', '184314', '303712', '308379', '308634', '363401', '385266', '385362', '385446', '385458', '385533', '386723', '416400', '427614', '434194', '437871', '472231', '488644', '491767', '493480', '1994 EV3', '1995 DB2', '1996 RQ20', '1996 TS66', '1997 CV29', '1997 QH4', '1998 HO151', '1998 WG24', '1998 WY31', '1999 CG154', '1999 CH119', '1999 CM153', '1999 HJ12', '1999 JD132', '1999 OC4', '1999 OH4', '1999 RT214', '1999 RX214', '1999 RX215', '1999 XY143', '2000 CE105', '2000 CJ105', '2000 CL105', '2000 CN105', '2000 CP104', '2000 FR53', '2000 FT53', '2000 FX53', '2000 PG30', '2000 PX29', '2000 QE226', '2000 QL251', '2000 YE2', '2001 DC106', '2001 DD106', '2001 FL185', '2001 HZ58', '2001 KL76', '2001 QD298', '2001 QE298', '2002 CD251', '2002 CY248', '2002 FV6', '2002 GH32', '2002 GS32', '2003 FD128', '2003 HE57', '2003 QB112', '2003 QO91', '2003 QR91', '2003 QS91', '2003 SQ317', '2003 UN292', '2003 UZ291', '2003 YJ179', '2003 YL179', '2003 YM179', '2003 YP179', '2003 YU179', '2004 ES95', '2004 HC79', '2004 HL79', '2004 HP79', '2004 KK19', '2004 MV8', '2004 OJ14', '2004 OQ15', '2004 PV117', '2004 PW107', '2004 QH29', '2004 VU75', '2005 BV49', '2005 CE81', '2005 EB318', '2005 EX297', '2005 GC187', '2005 JA175', '2005 JK186', '2005 JZ174', '2005 SD278', '2005 SE278', '2006 HP122', '2007 PS45', '2007 RL314', '2007 RX326', '2007 TD418', '2007 VJ302', '2008 AQ118', '2009 DR143', '2010 AH2', '2010 EL139', '2010 MQ116', '2010 OO127', '2010 RE188', '2010 TA192', '2010 TE192', '2010 TN182', '2010 VK201', '2010 VQ11', '2011 BS163', '2011 BV163', '2011 JX31', '2011 UA412', '2011 UE412', '2011 UG412', '2011 UH412', '2011 UJ412', '2011 UK413', '2011 UL411', '2011 UM411', '2011 UM412', '2011 UT412', '2011 UX411', '2012 DW98', '2012 FK84', '2012 HE85', '2012 HG84', '2012 HL85', '2012 HZ84', '2012 TF324', '2012 UB178', '2012 UN177', '2012 UP177', '2012 VR113', '2012 XR157', '2013 AQ183', '2013 EJ154', '2013 GB138', '2013 GC138', '2013 GD138', '2013 GQ136', '2013 GQ137', '2013 GR137', '2013 GS137', '2013 GT137', '2013 GV136', '2013 GZ137', '2013 HV156', '2013 HY156', '2013 JM64', '2013 JN65', '2013 JO65', '2013 JP65', '2013 JQ65', '2013 JS64', '2013 JS65', '2013 JU64', '2013 LY35', '2013 MA12', '2013 PV74', '2013 QO95', '2013 TM159', '2013 UK15', '2014 BV64', '2014 BX64', '2014 CQ23', '2014 FP43', '2014 LO28', '2014 LP28', '2014 LQ28', '2014 LS28', '2014 MA70', '2014 MC70', '2014 MY69', '2014 OA394', '2014 OH394', '2014 QW441', '2014 QZ441', '2014 SQ350', '2014 TA86', '2014 TZ85', '2014 UD225', '2014 UR224', '2014 VU37', '2014 WF509', '2014 WG509', '2014 WN509', '2014 WO509', '2014 WU509', '2014 WV509', '2014 YA50', '2015 BQ518', '2015 BU518', '2015 BZ518', '2015 FN345', '2015 GO50', '2015 GQ50']"
22,38083,"['45802', '48639', '52747', '53311', '55565', '58534', '60454', '66452', '69987', '79360', '79978', '79983', '80806', '84522', '85627', '85633', '88267', '88268', '88611', '119066', '129772', '134860', '145452', '148112', '148780', '149348', '150642', '160091', '160147', '182397', '183963', '275809', '278361', '303712', '307616', '308634', '363330', '363401', '364171', '385191', '385194', '385199', '385201', '385363', '385437', '385447', '408832', '415720', '420356', '434194', '437871', '439858', '444018', '444025', '455171', '455206', '455209', '468422', '469438', '469509', '469514', '469610', '469705', '470443', '471196', '471288', '471921', '472231', '472232', '483002', '486958', '487581', '488644', '491767', '491768', '493480', '1994 ES2', '1995 DB2', '1995 DC2', '1995 WY2', '1996 KV1', '1996 RQ20', '1996 TK66', '1997 CT29', '1998 FS144', '1998 KY61', '1998 WG24', '1998 WW31', '1998 WX24', '1998 WX31', '1998 WY24', '1998 WY31', '1999 CB119', '1999 CC119', '1999 CH154', '1999 CJ119', '1999 CL119', '1999 CN119', '1999 CU153', '1999 DA', '1999 DH8', '1999 HH12', '1999 HJ12', '1999 HS11', '1999 HV11', '1999 OG4', '1999 OZ3', '1999 RG215', '1999 RT214', '1999 RW214', '2000 CE105', '2000 CF105', '2000 CG105', '2000 CJ105', '2000 CL104', '2000 CN114', '2000 CO105', '2000 CP104', '2000 CQ114', '2000 FC8', '2000 FH8', '2000 FR53', '2000 FS53', '2000 GV146', '2000 GX146', '2000 GY146', '2000 JF81', '2000 OH67', '2000 ON67', '2000 OU69', '2000 PC30', '2000 PD30', '2000 PG30', '2000 PM30', '2000 PN30', '2000 PU29', '2000 PW29', '2000 QC226', '2000 QL251', '2000 WN183', '2000 WO183', '2000 WT169', '2000 WV12', '2000 YA2', '2000 YE2', '2000 YF2', '2000 YV1', '2000 YX1', '2001 DB106', '2001 ES24', '2001 FK185', '2001 FK193', '2001 FL185', '2001 HA59', '2001 KA77', '2001 KF76', '2001 KH76', '2001 OG109', '2001 OK108', '2001 OQ108', '2001 QC298', '2001 QE298', '2001 QO297', '2001 QP297', '2001 QQ297', '2001 QQ322', '2001 QR297', '2001 QS322', '2001 QW322', '2001 QX297', '2001 QZ297', '2001 RW143', '2001 RZ143', '2001 UN18', '2001 UP18', '2001 XR254', '2001 XU254', '2001 XX254', '2002 CB225', '2002 CS154', '2002 CT154', '2002 CU154', '2002 CX224', '2002 CZ154', '2002 CZ224', '2002 FV6', '2002 FW36', '2002 PA171', '2002 PD155', '2002 PO149', '2002 PV170', '2002 PX170', '2002 PY170', '2002 VB131', '2002 VD131', '2002 VE130', '2002 VF130', '2002 VF131', '2002 VT130', '2002 WL21', '2002 XH91', '2003 FA130', '2003 FM127', '2003 GF55', '2003 HE57', '2003 HH57', '2003 HZ56', '2003 KO20', '2003 QD91', '2003 QE112', '2003 QE91', '2003 QF91', '2003 QG91', '2003 QL91', '2003 QS91', '2003 QV90', '2003 QX90', '2003 QY111', '2003 QY90', '2003 QZ111', '2003 SN317', '2003 TJ58', '2003 TK58', '2003 TL58', '2003 UB292', '2003 UN284', '2003 UN292', '2003 UT291', '2003 UY291', '2003 UZ291', '2003 WU188', '2003 YN179', '2003 YP179', '2003 YR179', '2003 YS179', '2003 YT179', '2003 YX179', '2004 DH64', '2004 DM71', '2004 EP95', '2004 ES95', '2004 HD79', '2004 HE79', '2004 HG79', '2004 HH79', '2004 HK79', '2004 KE19', '2004 KF19', '2004 KG19', '2004 LW31', '2004 MT8', '2004 PB108', '2004 PT117', '2004 PU117', '2004 PV117', '2004 PW117', '2004 PX107', '2004 PX117', '2004 PY107', '2004 QH29', '2004 UD10', '2004 VB131', '2004 VC131', '2004 VD131', '2004 VS75', '2004 XX190', '2005 BV49', '2005 BW49', '2005 CG81', '2005 EC318', '2005 EE296', '2005 EO304', '2005 EW318', '2005 EX297', '2005 GD187', '2005 GX186', '2005 JH177', '2005 JJ186', '2005 JP179', '2005 JR179', '2005 JY185', '2005 LA54', '2005 LB54', '2005 PS21', '2006 BR284', '2006 CH69', '2006 HA123', '2006 HB123', '2006 HW122', '2006 JU58', '2006 JV58', '2006 QF181', '2006 SE415', '2006 SF415', '2006 UO321', '2007 CQ79', '2007 CS79', '2007 DS101', '2007 HV90', '2007 LE38', '2007 RL314', '2009 KO30', '2009 UF156', '2010 FX86', '2010 KZ39', '2010 RO64', '2010 TD192', '2010 TE192', '2010 TG192', '2010 TK192', '2010 TL182', '2011 BS163', '2011 BV163', '2011 HF103', '2011 HZ102', '2011 JW31', '2011 JX31', '2011 JY31', '2011 UA412', '2011 UB412', '2011 UC412', '2011 UD412', '2011 UF412', '2011 UG411', '2011 UG412', '2011 UL412', '2011 UM412', '2011 US412', '2011 UT412', '2011 UU411', '2011 UV411', '2011 UX411', '2011 UY411', '2011 UZ411', '2012 DA99', '2012 DW98', '2012 DZ98', '2012 FK84', '2012 HE85', '2012 HL85', '2012 TE324', '2012 TF324', '2012 UB178', '2012 UM177', '2012 UO177', '2012 UT177', '2012 VR113', '2012 XR157', '2013 EM149', '2013 FB28', '2013 FQ28', '2013 GB138', '2013 GC137', '2013 GE138', '2013 GF138', '2013 GG138', '2013 GM137', '2013 GN137', '2013 GP137', '2013 GQ137', '2013 GR136', '2013 GR137', '2013 GS137', '2013 GT137', '2013 GU137', '2013 GW137', '2013 GX137', '2013 GY137', '2013 GZ137', '2013 HT156', '2013 HV156', '2013 JJ64', '2013 JM65', '2013 JN65', '2013 JQ65', '2013 JW63', '2013 LY35', '2013 SP99', '2013 UL15', '2013 UM15', '2013 UN15', '2013 UO15', '2013 UP15', '2013 XB26', '2014 AM55', '2014 BX64', '2014 DD143', '2014 DE143', '2014 DF143', '2014 DM143', '2014 DN143', '2014 DO143', '2014 EZ51', '2014 GT53', '2014 GZ53', '2014 HU199', '2014 JM80', '2014 LP28', '2014 LR28', '2014 LT28', '2014 MG70', '2014 NB66', '2014 OE394', '2014 OJ394', '2014 OM394', '2014 PN70', '2014 QE442', '2014 QF433', '2014 QW441', '2014 TC86', '2014 TD86', '2014 TW85', '2014 UE225', '2014 UQ224', '2014 UR224', '2014 US224', '2014 WA509', '2014 WA510', '2014 WD509', '2014 WF509', '2014 WK509', '2014 WN509', '2014 WO509', '2014 WP509', '2014 WS509', '2014 WT69', '2014 XY40', '2015 AM281', '2015 BQ518', '2015 BU518', '2015 BV518', '2015 FJ345', '2015 FL345', '2015 FM345', '2015 FW392', '2015 PF312', '2016 BP81']"
23,38628,"['487581', '2013 FQ28', '2015 FJ345']"
24,42301,[]
25,45802,"['79360', '385199', '470443', '483002', '1999 HS11', '2000 CG105', '2000 GX146', '2000 OH67', '2000 WT169', '2001 OG109', '2001 QW322', '2001 UP18', '2003 GF55', '2003 HZ56', '2003 YN179', '2003 YS179', '2004 HD79', '2004 HG79', '2005 GX186', '2006 CH69', '2010 FX86', '2011 UZ411', '2012 XR157', '2013 JJ64', '2013 UN15', '2014 DN143', '2014 GZ53', '2014 WA510', '2014 WT69', '2015 AM281', '2015 BV518', '2015 FJ345']"
